Id,SalePrice
1461,125337.43
1462,151709.0
1463,172682.99
1464,183477.42
1465,196055.38
1466,188336.58
1467,169431.56
1468,179640.46
1469,184753.66
1470,114570.69
1471,192085.42
1472,98843.0
1473,89863.5
1474,147197.05
1475,139060.52
1476,430403.42
1477,255453.96
1478,319250.28
1479,266768.72
1480,429065.74
1481,332220.0
1482,215658.46
1483,172966.72
1484,160566.19
1485,168056.22
1486,209576.78
1487,356357.44
1488,258626.56
1489,217580.68
1490,193070.85
1491,197346.05
1492,104191.12
1493,184469.7
1494,287478.6
1495,282627.62
1496,210336.8
1497,159392.38
1498,148236.73
1499,148548.32
1500,154011.5
1501,173618.32
1502,150040.8
1503,305861.37
1504,229038.27
1505,210830.56
1506,173021.24
1507,211566.8
1508,191812.64
1509,159800.92
1510,141584.0
1511,140108.5
1512,147804.47
1513,149584.0
1514,144432.53
1515,177326.53
1516,147805.32
1517,148480.82
1518,121668.66
1519,216387.78
1520,127330.0
1521,136367.25
1522,161724.0
1523,119794.86
1524,123935.44
1525,119806.49
1526,124191.86
1527,97285.41
1528,132059.65
1529,135447.62
1530,171135.0
1531,138613.31
1532,103229.76
1533,133043.71
1534,124537.15
1535,155095.74
1536,114169.29
1537,73802.0
1538,195394.42
1539,249386.54
1540,116505.06
1541,147384.4
1542,144060.99
1543,211952.24
1544,80154.5
1545,96570.86
1546,130933.25
1547,140290.5
1548,133535.34
1549,102136.55
1550,132913.0
1551,112130.77
1552,151300.04
1553,160865.96
1554,118195.87
1555,162258.7
1556,102730.5
1557,114044.84
1558,92349.86
1559,114513.48
1560,140520.42
1561,126443.5
1562,123618.0
1563,117318.93
1564,154460.39
1565,150977.39
1566,220206.52
1567,77905.0
1568,205293.4
1569,146465.03
1570,139307.25
1571,140241.28
1572,138936.25
1573,234696.89
1574,115362.68
1575,196374.35
1576,197222.3
1577,208905.89
1578,145872.2
1579,133328.03
1580,190640.55
1581,140688.5
1582,121932.5
1583,329010.73
1584,241506.9
1585,134687.5
1586,74115.58
1587,121673.19
1588,145631.25
1589,105983.64
1590,128654.12
1591,117561.16
1592,124324.09
1593,113773.0
1594,162621.78
1595,130614.34
1596,226125.52
1597,163269.28
1598,195736.37
1599,196617.56
1600,190472.58
1601,62184.11
1602,106127.55
1603,99113.73
1604,266548.61
1605,240589.01
1606,169498.0
1607,177649.01
1608,213557.55
1609,202138.57
1610,159126.27
1611,153167.0
1612,168464.93
1613,166345.24
1614,117794.6
1615,84198.71
1616,84765.59
1617,83225.0
1618,125710.0
1619,124631.0
1620,162901.23
1621,134343.49
1622,143642.14
1623,236348.78
1624,186369.0
1625,122768.08
1626,176763.82
1627,182934.78
1628,266630.25
1629,181784.2
1630,324601.61
1631,236361.7
1632,261639.41
1633,166521.27
1634,182035.5
1635,176945.82
1636,159646.59
1637,180442.13
1638,232335.9
1639,195988.5
1640,268970.89
1641,187478.9
1642,214716.3
1643,230381.52
1644,232400.59
1645,172513.05
1646,142191.62
1647,162857.48
1648,135401.83
1649,133359.93
1650,117913.58
1651,124230.58
1652,90660.0
1653,95413.0
1654,151982.5
1655,146891.54
1656,149392.87
1657,151667.0
1658,148503.4
1659,136463.5
1660,136186.75
1661,436807.18
1662,394336.39
1663,373144.87
1664,431123.57
1665,324126.0
1666,275328.55
1667,366313.37
1668,330716.53
1669,290638.22
1670,335667.14
1671,259696.57
1672,435039.73
1673,313535.93
1674,261051.17
1675,185162.02
1676,186110.6
1677,213935.44
1678,435610.83
1679,349900.73
1680,338724.14
1681,282213.46
1682,272175.69
1683,181520.89
1684,172964.9
1685,174095.97
1686,171482.81
1687,166100.52
1688,189750.4
1689,191680.33
1690,177399.8
1691,169915.79
1692,256171.5
1693,165225.59
1694,182676.64
1695,172472.3
1696,279619.29
1697,172074.05
1698,342657.08
1699,321194.25
1700,242622.64
1701,273750.54
1702,272779.3
1703,282454.88
1704,269946.71
1705,270557.23
1706,413764.21
1707,211938.99
1708,218649.22
1709,293067.99
1710,228040.12
1711,240761.26
1712,280626.49
1713,234234.02
1714,218378.56
1715,190247.05
1716,198880.0
1717,167375.2
1718,153348.96
1719,210212.45
1720,257614.28
1721,170339.36
1722,130695.0
1723,139386.03
1724,218506.95
1725,242532.3
1726,191133.5
1727,170054.5
1728,182838.1
1729,167413.86
1730,173226.4
1731,119687.5
1732,121997.0
1733,116468.0
1734,128221.5
1735,128627.0
1736,118674.0
1737,331420.56
1738,211584.96
1739,287695.94
1740,187227.64
1741,177433.55
1742,173624.97
1743,177076.88
1744,315424.51
1745,245683.04
1746,309596.23
1747,238298.3
1748,225890.2
1749,156942.75
1750,148694.75
1751,258312.63
1752,120640.5
1753,151885.03
1754,223667.4
1755,166245.5
1756,119072.98
1757,118406.0
1758,132928.75
1759,162252.66
1760,151869.99
1761,152324.37
1762,172480.06
1763,165425.32
1764,117782.08
1765,163506.0
1766,165776.5
1767,207640.72
1768,132335.5
1769,161926.06
1770,141099.0
1771,129729.75
1772,139739.37
1773,135007.0
1774,123997.0
1775,129170.25
1776,128195.43
1777,106500.93
1778,121411.83
1779,128428.0
1780,174159.05
1781,127832.75
1782,98075.87
1783,133877.86
1784,91016.49
1785,121094.0
1786,141150.76
1787,174797.14
1788,61382.11
1789,104362.5
